ID	Age
1404DNA01	20
2122DNA01	20
1054DNA01	21
1198DNA01	21
1539DNA01	21
1660DNA01	21
1772DNA11	22
1125DNA01	23
1240DNA01	23
1638DNA01	23
1049DNA01	24
1050DNA01	24
1053DNA01	24
1117DNA01	24
1263DNA01	24
1400DNA01	25
1586DNA01	25
1682DNA01	25
1886DNA11	25
1055DNA01	26
1310DNA01	26
1406DNA01	26
1650DNA01	26
1872DNA01	26
1130DNA01	27
1262DNA01	27
1424DNA01	27
1538DNA01	27
1641DNA01	27
1647DNA01	27
1741DNA01	27
2179DNA11	27
1002DNA01	28
1005DNA01	28
1029DNA01	28
1121DNA01	28
1128DNA01	28
1248DNA01	28
1319DNA01	28
1479DNA01	28
1530DNA01	28
1637DNA01	28
1768DNA01	28
2059DNA11	28
1056DNA01	29
1165DNA01	29
1196DNA01	29
1256DNA01	29
1320DNA01	29
1575DNA01	29
1579DNA01	29
1630DNA01	29
1767DNA01	29
1250DNA01	30
1760DNA01	30
1045DNA01	31
1249DNA01	31
1279DNA01	31
1420DNA01	31
1425DNA01	31
1543DNA11	31
1017DNA01	32
1031DNA01	32
1251DNA01	32
1396DNA01	32
1426DNA01	32
1513DNA01	32
1551DNA01	32
1655DNA01	32
1750DNA11	32
1119DNA01	33
1193DNA01	33
1244DNA01	33
1282DNA01	33
1294DNA01	33
1533DNA01	33
1571DNA11	33
1669DNA01	33
1047DNA01	34
1118DNA01	34
1258DNA01	34
1493DNA01	34
1763DNA01	34
1238DNA11	35
1510DNA01	35
1645DNA01	35
1888DNA11	35
1345DNA01	36
1492DNA01	36
1597DNA01	36
1730DNA01	36
2132DNA11	36
1226DNA01	37
1234DNA01	37
1243DNA01	37
1827DNA11	37
1922DNA01	37
1419DNA11	38
1514DNA01	38
1569DNA01	38
1737DNA11	38
1004DNA01	39
1042DNA01	39
1203DNA01	39
1285DNA01	39
1322DNA01	39
1614DNA01	39
1775DNA11	39
2106DNA01	39
1014DNA01	40
1106DNA01	40
1721DNA01	40
1766DNA01	40
1885DNA01	40
1085DNA01	41
1259DNA01	41
1341DNA01	41
1414DNA01	41
1418DNA11	41
1519DNA01	41
1615DNA01	41
2186DNA01	41
1039DNA01	42
1197DNA01	42
1332DNA01	42
1338DNA01	42
1350DNA01	42
1875DNA01	42
1012DNA01	43
1072DNA01	43
1083DNA01	43
1221DNA01	43
1751DNA01	43
1088DNA01	44
1286DNA01	44
1325DNA01	44
1453DNA01	44
1841DNA01	44
1043DNA01	45
1051DNA01	45
1068DNA01	45
1132DNA01	45
1368DNA01	45
1417DNA01	45
1472DNA01	45
1754DNA01	45
1961DNA11	45
1131DNA01	46
1321DNA01	46
1511DNA01	46
1535DNA01	46
1680DNA01	46
1857DNA01	46
2016DNA11	46
1134DNA01	47
1311DNA01	47
1313DNA01	47
1329DNA01	47
1421DNA01	47
1672DNA01	47
1731DNA11	47
1762DNA01	47
1216DNA01	48
1576DNA11	48
1844DNA11	48
1208DNA01	49
1225DNA01	49
1340DNA01	49
1936DNA11	49
1016DNA01	50
1219DNA01	50
1407DNA01	50
1796DNA11	50
1078DNA01	51
1270DNA01	51
1326DNA01	51
1582DNA01	51
1771DNA11	51
1334DNA01	52
1577DNA11	52
1631DNA01	52
1652DNA01	52
2001DNA11	52
2124DNA01	52
1127DNA01	53
1133DNA01	53
1141DNA01	53
1667DNA01	53
1829DNA11	53
1015DNA01	54
1315DNA01	54
1318DNA01	54
2127DNA11	54
2130DNA01	54
2185DNA01	54
1366DNA01	55
1389DNA01	55
1520DNA01	55
1580DNA01	55
1757DNA01	55
1022DNA01	56
1070DNA11	56
1522DNA01	56
1523DNA01	56
1804DNA11	56
1297DNA01	57
1324DNA01	57
1480DNA01	57
1892DNA11	57
1947DNA11	57
2082DNA11	57
1046DNA01	58
1112DNA01	58
1154DNA01	58
1217DNA01	58
1621DNA01	58
1748DNA01	58
1785DNA11	58
1811DNA11	58
1987DNA11	58
2112DNA11	58
2135DNA01	58
1496DNA01	59
1567DNA01	59
1026DNA01	60
1337DNA01	60
1656DNA01	60
1881DNA11	60
1900DNA11	60
1061DNA01	61
1101DNA01	61
1452DNA11	61
1549DNA11	61
1860DNA11	61
1445DNA01	62
1683DNA01	62
1909DNA11	62
1598DNA01	63
1116DNA01	64
1333DNA01	64
1442DNA01	64
1602DNA01	64
1858DNA11	64
2089DNA11	64
1062DNA01	65
1381DNA01	65
1848DNA11	65
1937DNA11	65
1066DNA01	66
1087DNA01	66
1456DNA01	66
1488DNA01	66
1596DNA01	66
2113DNA11	66
1301DNA01	67
1328DNA01	67
1386DNA01	67
1343DNA01	68
1716DNA01	68
1791DNA11	68
1924DNA11	68
1082DNA01	69
1195DNA01	69
1623DNA01	69
1063DNA01	70
1100DNA01	70
1110DNA01	71
1079DNA01	72
1608DNA01	72
1633DNA01	74
1558DNA01	83
